label,start_range_m,hit,hit_t_s,min_range_m,final_range_m,frames,detected_frames,valid_frames,detected_ratio,valid_ratio,max_load_factor_fd_g,command_load_p95_g,truth_or_guidance_p95_g,los_error_p95_deg,ttc_p50_s,ttc_valid_ratio,avg_sim_sample_fps
K,70.0,True,10.695228338241577,1.3397804946849738,1.3397804946849738,214,204,203,0.9532710280373832,0.9485981308411215,1.676831607030163,9.986182704813132,0.444054399839523,7.497099549708921,2.844,0.8084112149532711,19.929612348702594
K0,70.0,True,10.041214227676392,1.3626586538168093,1.3626586538168093,201,189,187,0.9402985074626866,0.9303482587064676,1.3925848980764297,1.038430675912131,0.4543976870277601,7.372005596984761,3.019,0.8009950248756219,19.932172841368676
L,70.0,True,11.094236612319946,1.300055504057538,1.300055504057538,222,208,208,0.9369369369369369,0.9369369369369369,1.5811759042573466,9.502804356308577,0.5232586527767779,7.311007440503381,3.093,0.7927927927927928,19.934585053585007
L0,70.0,True,10.329220294952393,1.3081840315033764,1.3081840315033764,206,191,191,0.9271844660194175,0.9271844660194175,1.5174253040694776,1.23674112703193,0.5242456779498952,7.334025165907797,3.184,0.8203883495145631,19.886677025646488
M,70.0,True,10.191217422485352,1.298940074576913,1.3103079908622075,204,194,194,0.9509803921568627,0.9509803921568627,1.3804405105492863,3.3825367747954815,0.6601891757952604,7.347964194259263,nan,0.0,19.933410440096907
M0,70.0,True,9.942212104797363,1.258669387354314,1.258669387354314,199,188,188,0.9447236180904522,0.9447236180904522,1.272243019400204,2.009974021888084,0.5075917354395207,7.293160860087271,nan,0.0,19.92926382027843
N,70.0,True,19.73142099380493,1.3414788315612904,1.3414788315612904,394,387,387,0.9822335025380711,0.9822335025380711,0.9699406679181358,16.118340245314705,3.4852786298374268,8.103174889178712,nan,0.0,19.93172067945196
N0,70.0,True,11.799251556396484,1.138815874039283,1.2174590479060396,236,228,228,0.9661016949152542,0.9661016949152542,1.5033568987988537,12.35157248323489,2.340422473825174,7.480993129065212,nan,0.0,19.93073896975787
P,70.0,True,16.602354288101196,1.147409659771898,1.147409659771898,331,329,329,0.9939577039274925,0.9939577039274925,1.0393086003326557,15.753590805285882,3.4372985099359457,7.5869863210577755,nan,0.0,19.909629158194594
P0,70.0,True,13.04127812385559,1.3912060888833977,1.3912060888833977,260,252,252,0.9692307692307692,0.9692307692307692,1.046703538116218,11.122009598225176,1.3865110012101924,7.367187339057415,nan,0.0,19.897842453579923
J,80.0,True,11.229239702224731,1.3444616765764754,1.3444616765764754,224,210,209,0.9375,0.9330357142857143,1.5894588109387189,0.7162231336123497,0.5145859722170819,7.363218277739818,3.42,0.8125,19.89710843659429
J0,80.0,True,11.148237943649292,1.3360209582741092,1.3360209582741092,223,208,207,0.9327354260089686,0.9282511210762332,1.5991563443993893,0.4951741065016958,0.4868484391487174,7.334981930299465,3.756,0.8116591928251121,19.92759094606989
K,80.0,True,12.099258184432983,1.3238790693214462,1.3238790693214462,242,232,232,0.9586776859504132,0.9586776859504132,1.604335204266713,9.321427074227385,0.5138783403219189,7.346835599504675,3.216,0.7975206611570248,19.932859204834255
K0,80.0,True,11.24724006652832,1.3335316654683274,1.3335316654683274,225,212,210,0.9422222222222222,0.9333333333333333,1.2746734188829176,1.2110339295562578,0.5048487650023753,7.386616813783305,4.2675,0.8177777777777778,19.93020311720276
L,80.0,True,12.54026746749878,1.3315199827317947,1.3315199827317947,250,243,242,0.972,0.968,1.388590256953435,10.722364849311955,0.46066617072647953,7.049428522050869,3.4015,0.808,19.894741151424757
L0,80.0,True,11.688249349594116,1.2723222345750755,1.2723222345750755,233,215,214,0.9227467811158798,0.9184549356223176,1.2278258306197782,1.7120380160706667,0.4821183569976544,7.354804507681532,4.216,0.776824034334764,19.88938372818419
M,80.0,True,11.382242679595947,1.4321291801966198,1.4321291801966198,227,217,217,0.9559471365638766,0.9559471365638766,1.5688141738389159,3.0039721120913394,0.7715283559877236,7.370527000567392,nan,0.0,19.893263409922273
M0,80.0,True,10.830230951309204,1.3687704765515705,1.3687704765515705,216,207,207,0.9583333333333334,0.9583333333333334,1.6343819692745032,0.6966130467340367,0.4741517767989355,7.3404457299010275,nan,0.0,19.89457850549827
N,80.0,True,16.308347940444946,1.1439475250127085,1.21657009600879,325,317,317,0.9753846153846154,0.9753846153846154,1.0751925119399277,16.024166375867594,3.8133195946472895,8.143512087120701,nan,0.0,19.900096232622424
N0,80.0,True,14.1093008518219,1.4592934211565711,1.4592934211565711,282,272,272,0.9645390070921985,0.9645390070921985,1.4419479105796893,10.876256590261884,1.9331685235635454,7.427033601221369,nan,0.0,19.930145050823374
P,80.0,True,24.5945246219635,1.1327661874775168,1.1327661874775168,490,489,489,0.9979591836734694,0.9979591836734694,0.946904612389598,16.15506874925342,3.7133600134517284,8.146383362180684,nan,0.0,19.909102725168307
P0,80.0,True,12.756272315979004,1.3855942988676757,1.3855942988676757,255,242,242,0.9490196078431372,0.9490196078431372,1.482203002872515,11.126647096398775,1.4139030646121988,7.389203449928491,nan,0.0,19.92585225342553
J,90.0,True,12.588268518447876,1.316171619377255,1.316171619377255,251,237,237,0.9442231075697212,0.9442231075697212,1.620336527323535,0.8300274659917228,0.43068653924974815,7.198757262458098,3.566,0.7768924302788844,19.895233842488466
J0,90.0,True,12.555267810821533,1.3345482795394727,1.3345482795394727,251,240,240,0.9561752988047809,0.9561752988047809,1.5162656723502415,0.5117963569651509,0.4272595323766769,7.58936103473391,4.599,0.8207171314741036,19.926045480496114
K,90.0,True,13.758293628692627,1.3622793746729944,1.3622793746729944,275,267,267,0.9709090909090909,0.9709090909090909,1.2226948200980294,11.043720098131189,0.41375702329606034,7.573282250134767,3.4435000000000002,0.7709090909090909,19.929444415748005
K0,90.0,True,12.69027066230774,1.2842562299173048,1.2842562299173048,253,240,239,0.9486166007905138,0.9446640316205533,1.3657746736876817,1.520780503241721,0.4478057183474522,7.489758169337978,4.621,0.7865612648221344,19.89294969313286
L,90.0,True,15.249325513839722,1.0912686302507844,1.0912686302507844,304,295,285,0.9703947368421053,0.9375,1.4494255460623324,9.70140441854314,0.6888812585542975,8.127738684534952,3.408,0.7006578947368421,19.904202612223735
L0,90.0,True,13.104279518127441,1.2482444775830088,1.2482444775830088,262,249,249,0.950381679389313,0.950381679389313,1.5547481079057732,1.1728127795102246,0.3914620885115193,7.409846609735816,4.522,0.767175572519084,19.931398114616993
M,90.0,True,13.05327844619751,1.3919895309595527,1.3919895309595527,261,255,255,0.9770114942528736,0.9770114942528736,1.3386038031923997,3.0890554079731847,0.5745832522447712,7.499047019133772,nan,0.0,19.93264414188982
